,Infected,score,infected_scaled,score_scaled
2021-01-13,6086.0,-4.0,0.22892130099056235,0.0
2021-01-13,6086.0,4.0,0.22892130099056235,0.01
2021-01-13,6086.0,-2.0,0.22892130099056235,0.0025
2021-01-14,6749.0,-4.0,0.25477731846189844,0.0
2021-01-14,6749.0,-1.0,0.25477731846189844,0.00375
2021-01-14,6749.0,-2.0,0.25477731846189844,0.0025
2021-01-14,6749.0,-4.0,0.25477731846189844,0.0
2021-01-14,6749.0,-2.0,0.25477731846189844,0.0025
2021-01-14,6749.0,-1.0,0.25477731846189844,0.00375
2021-01-14,6749.0,-1.0,0.25477731846189844,0.00375
2021-01-14,6749.0,-2.0,0.25477731846189844,0.0025
2021-01-15,6795.0,3.0,0.2565712502924889,0.00875
2021-01-15,6795.0,-3.0,0.2565712502924889,0.00125
2021-01-15,6795.0,0.0,0.2565712502924889,0.005
2021-01-15,6795.0,-4.0,0.2565712502924889,0.0
2021-01-15,6795.0,-1.0,0.2565712502924889,0.00375
2021-01-16,7028.0,4.0,0.26565790499961,0.01
2021-01-16,7028.0,-4.0,0.26565790499961,0.0
2021-01-17,5758.0,0.0,0.2161297870680914,0.005
2021-01-17,5758.0,-1.0,0.2161297870680914,0.00375
2021-01-17,5758.0,-3.0,0.2161297870680914,0.00125
2021-01-18,4947.0,0.0,0.18450198892442088,0.005
